Index,PubmedID,Condition,Study
297,34167563,Sroke,"Qin X, Karlsson IK, Wang Y, Li X, Pedersen N, Reynolds CA, Hägg S. The epigenetic etiology of cardiovascular disease in a longitudinal Swedish twin study. Clin Epigenetics. 2021 Jun 24;13(1):129. doi: 10.1186/s13148-021-01113-6. PMID: 34167563; PMCID: PMC8223329."
298,33980183,Sroke,"Gao Y, Pang H, Chen B, Wu C, Wang Y, Hou L, Wang S, Sun D, Zheng X. Genome-wide analysis of DNA methylation and risk of cardiovascular disease in a Chinese population. BMC Cardiovasc Disord. 2021 May 12;21(1):240. doi: 10.1186/s12872-021-02001-w. PMID: 33980183; PMCID: PMC8117656."
299,30237808,Sroke,"Davis Armstrong NM, Chen WM, Brewer MS, Williams SR, Sale MM, Worrall BB, Keene KL. Epigenome-Wide Analyses Identify Two Novel Associations With Recurrent Stroke in the Vitamin Intervention for Stroke Prevention Clinical Trial. Front Genet. 2018 Sep 6;9:358. doi: 10.3389/fgene.2018.00358. PMID: 30237808; PMCID: PMC6135883."
300,34252155,Sroke,"Davis Armstrong NM, Chen WM, Hsu FC, Brewer MS, Cullell N, Fernández-Cadenas I, Williams SR, Sale MM, Worrall BB, Keene KL. DNA methylation analyses identify an intronic ZDHHC6 locus associated with time to recurrent stroke in the Vitamin Intervention for Stroke Prevention (VISP) clinical trial. PLoS One. 2021 Jul 12;16(7):e0254562. doi: 10.1371/journal.pone.0254562. PMID: 34252155; PMCID: PMC8274879."
301,37370144,Sroke,"Peng H, Palma-Gudiel H, Soriano-Tarraga C, Jimenez-Conde J, Zhang M, Zhang Y, Zhao J. Epigenome-wide association study identifies novel genes associated with ischemic stroke. Clin Epigenetics. 2023 Jun 27;15(1):106. doi: 10.1186/s13148-023-01520-x. PMID: 37370144; PMCID: PMC10304605."
302,36180927,Sroke,"Cullell N, Soriano-Tárraga C, Gallego-Fábrega C, Cárcel-Márquez J, Muiño E, Llucià-Carol L, Lledós M, Esteller M, de Moura MC, Montaner J, Rosell A, Delgado P, Martí-Fábregas J, Krupinski J, Roquer J, Jiménez-Conde J, Fernández-Cadenas I. Altered methylation pattern in EXOC4 is associated with stroke outcome: an epigenome-wide association study. Clin Epigenetics. 2022 Sep 30;14(1):124. doi: 10.1186/s13148-022-01340-5. PMID: 36180927; PMCID: PMC9526296."
303,35717949, Ischemic stroke (IS),"Cullell N, Soriano-Tárraga C, Gallego-Fábrega C, Cárcel-Márquez J, Torres-Águila NP, Muiño E, Lledós M, Llucià-Carol L, Esteller M, Castro de Moura M, Montaner J, Fernández-Sanlés A, Elosua R, Delgado P, Martí-Fábregas J, Krupinski J, Roquer J, Jiménez-Conde J, Fernández-Cadenas I. DNA Methylation and Ischemic Stroke Risk: An Epigenome-Wide Association Study. Thromb Haemost. 2022 Oct;122(10):1767-1778. doi: 10.1055/s-0042-1749328. Epub 2022 Jun 19. PMID: 35717949."
304,31084332,Ischemic stroke,"Shen Y, Peng C, Bai Q, Ding Y, Yi X, Du H, He L, Zhou D, Chen X. Epigenome-Wide Association Study Indicates Hypomethylation of MTRNR2L8 in Large-Artery Atherosclerosis Stroke. Stroke. 2019 Jun;50(6):1330-1338. doi: 10.1161/STROKEAHA.118.023436. Epub 2019 May 14. PMID: 31084332."
305,37064175,Sroke,"Chen L, Jiang J, Yao J, Lu Y, Zhang X, Zhang M, Zhang Q, Peng H. Association between CORINpromoter methylation and stroke: Results from two independent samples of Chinese adults. Front Neurol. 2023 Mar 31;14:1103374. doi: 10.3389/fneur.2023.1103374. PMID: 37064175; PMCID: PMC10102360."
306,35620136,Ischemic stroke (IS),"Peng H, Fan Y, Li J, Zheng X, Zhong C, Zhu Z, He Y, Zhang M, Zhang Y. DNA Methylation of the Natriuretic Peptide System Genes and Ischemic Stroke: Gene-Based and Gene Set Analyses. Neurol Genet. 2022 May 11;8(3):e679. doi: 10.1212/NXG.0000000000000679. PMID: 35620136; PMCID: PMC9128040."
307,32875935,Ischemic stroke (IS),"Wang A, Zhang M, Ding Y, Mo X, Zhong C, Zhu Z, Guo D, Zheng X, Xu T, Liu Y, Zhang Y, Peng H. Associations of B-Type Natriuretic Peptide and Its Coding Gene Promoter Methylation With Functional Outcome of Acute Ischemic Stroke: A Mediation Analysis. J Am Heart Assoc. 2020 Sep 15;9(18):e017499. doi: 10.1161/JAHA.120.017499. Epub 2020 Sep 2. PMID: 32875935; PMCID: PMC7727007."
308,35480311,Ischemic stroke (IS),"Sun H, Xu J, Hu B, Liu Y, Zhai Y, Sun Y, Sun H, Li F, Wang J, Feng A, Tang Y, Zhao J. Association of DNA Methylation Patterns in 7 Novel Genes With Ischemic Stroke in the Northern Chinese Population. Front Genet. 2022 Apr 11;13:844141. doi: 10.3389/fgene.2022.844141. PMID: 35480311; PMCID: PMC9035884."
309,32202197,Ischemic stroke (IS),"Soriano-Tárraga C, Lazcano U, Giralt-Steinhauer E, Avellaneda-Gómez C, Ois Á, Rodríguez-Campello A, Cuadrado-Godia E, Gómez-González A, Fernández-Sanlés A, Elosua R, Fernández-Cadenas I, Cullell N, Montaner J, Moran S, Esteller M, Jiménez-Conde J, Roquer J. Identification of 20 novel loci associated with ischaemic stroke. Epigenome-wide association study. Epigenetics. 2020 Sep;15(9):988-997. doi: 10.1080/15592294.2020.1746507. Epub 2020 Apr 6. PMID: 32202197; PMCID: PMC7518691."
310,35586748,Cardiovascular disease (CVD),"Chen L, Li J, Zhang M, Zhang Q, Wu L, Lu Y, He Y, Jiang J, Zhang X, Hu J, Ding Y, Zhang M, Peng H. Serum Atrial Natriuretic Peptide, NPPA Promoter Methylation, and Cardiovascular Disease: A 10-year Follow-Up Study in Chinese Adults. Glob Heart. 2022 Apr 7;17(1):27. doi: 10.5334/gh.1116. PMID: 35586748; PMCID: PMC8992767."
311,28173150,Hyperlipidemia,"Sayols-Baixeras S, Subirana I, Lluis-Ganella C, Civeira F, Roquer J, Do AN, Absher D, Cenarro A, Muñoz D, Soriano-Tárraga C, Jiménez-Conde J, Ordovas JM, Senti M, Aslibekyan S, Marrugat J, Arnett DK, Elosua R. Identification and validation of seven new loci showing differential DNA methylation related to serum lipid profile: an epigenome-wide approach. The REGICOR study. Hum Mol Genet. 2016 Oct 15;25(20):4556-4565. doi: 10.1093/hmg/ddw285. Erratum in: Hum Mol Genet. 2019 Apr 15;28(8):1402. PMID: 28173150; PMCID: PMC6284258."
312,28194238,Hyperlipidemia,"Braun KVE, Dhana K, de Vries PS, Voortman T, van Meurs JBJ, Uitterlinden AG; BIOS consortium; Hofman A, Hu FB, Franco OH, Dehghan A. Epigenome-wide association study (EWAS) on lipids: the Rotterdam Study. Clin Epigenetics. 2017 Feb 7;9:15. doi: 10.1186/s13148-016-0304-4. PMID: 28194238; PMCID: PMC5297218."
313,25583993,Hyperlipidemia,"Pfeiffer L, Wahl S, Pilling LC, Reischl E, Sandling JK, Kunze S, Holdt LM, Kretschmer A, Schramm K, Adamski J, Klopp N, Illig T, Hedman ÅK, Roden M, Hernandez DG, Singleton AB, Thasler WE, Grallert H, Gieger C, Herder C, Teupser D, Meisinger C, Spector TD, Kronenberg F, Prokisch H, Melzer D, Peters A, Deloukas P, Ferrucci L, Waldenberger M. DNA methylation of lipid-related genes affects blood lipid levels. Circ Cardiovasc Genet. 2015 Apr;8(2):334-42. doi: 10.1161/CIRCGENETICS.114.000804. Epub 2015 Jan 12. PMID: 25583993; PMCID: PMC5012424."
314,27350042,Dyslipidemia,"Dekkers KF, van Iterson M, Slieker RC, Moed MH, Bonder MJ, van Galen M, Mei H, Zhernakova DV, van den Berg LH, Deelen J, van Dongen J, van Heemst D, Hofman A, Hottenga JJ, van der Kallen CJ, Schalkwijk CG, Stehouwer CD, Tigchelaar EF, Uitterlinden AG, Willemsen G, Zhernakova A, Franke L, 't Hoen PA, Jansen R, van Meurs J, Boomsma DI, van Duijn CM, van Greevenbroek MM, Veldink JH, Wijmenga C; BIOS Consortium; van Zwet EW, Slagboom PE, Jukema JW, Heijmans BT. Blood lipids influence DNA methylation in circulating cells. Genome Biol. 2016 Jun 27;17(1):138. doi: 10.1186/s13059-016-1000-6. PMID: 27350042; PMCID: PMC4922056."
315,34183656,Dyslipidemia,"Jhun MA, Mendelson M, Wilson R, Gondalia R, Joehanes R, Salfati E, Zhao X, Braun KVE, Do AN, Hedman ÅK, Zhang T, Carnero-Montoro E, Shen J, Bartz TM, Brody JA, Montasser ME, O'Connell JR, Yao C, Xia R, Boerwinkle E, Grove M, Guan W, Liliane P, Singmann P, Müller-Nurasyid M, Meitinger T, Gieger C, Peters A, Zhao W, Ware EB, Smith JA, Dhana K, van Meurs J, Uitterlinden A, Ikram MA, Ghanbari M, Zhi D, Gustafsson S, Lind L, Li S, Sun D, Spector TD, Chen YI, Damcott C, Shuldiner AR, Absher DM, Horvath S, Tsao PS, Kardia S, Psaty BM, Sotoodehnia N, Bell JT, Ingelsson E, Chen W, Dehghan A, Arnett DK, Waldenberger M, Hou L, Whitsel EA, Baccarelli A, Levy D, Fornage M, Irvin MR, Assimes TL. A multi-ethnic epigenome-wide association study of leukocyte DNA methylation and blood lipids. Nat Commun. 2021 Jun 28;12(1):3987. doi: 10.1038/s41467-021-23899-y. Erratum in: Nat Commun. 2021 Jul 6;12(1):4256. PMID: 34183656; PMCID: PMC8238961."
316,36791658,Dyslipidemia,"van der Linden EL, Meeks KAC, Chilunga F, Hayfron-Benjamin C, Bahendeka S, Klipstein-Grobusch K, Venema A, van den Born BJ, Agyemang C, Henneman P, Adeyemo A. Epigenome-wide association study of plasma lipids in West Africans: the RODAM study. EBioMedicine. 2023 Mar;89:104469. doi: 10.1016/j.ebiom.2023.104469. Epub 2023 Feb 13. PMID: 36791658; PMCID: PMC10025759."
317,36274151,Dyslipidemia,"Wu Z, Chen L, Hong X, Si J, Cao W, Yu C, Huang T, Sun D, Liao C, Pang Y, Pang Z, Cong L, Wang H, Wu X, Liu Y, Guo Y, Chen Z, Lv J, Gao W, Li L. Temporal associations between leukocytes DNA methylation and blood lipids: a longitudinal study. Clin Epigenetics. 2022 Oct 23;14(1):132. doi: 10.1186/s13148-022-01356-x. PMID: 36274151; PMCID: PMC9588246."
318,28213390,Coronary Heart Disease ,"Hedman ÅK, Mendelson MM, Marioni RE, Gustafsson S, Joehanes R, Irvin MR, Zhi D, Sandling JK, Yao C, Liu C, Liang L, Huan T, McRae AF, Demissie S, Shah S, Starr JM, Cupples LA, Deloukas P, Spector TD, Sundström J, Krauss RM, Arnett DK, Deary IJ, Lind L, Levy D, Ingelsson E. Epigenetic Patterns in Blood Associated With Lipid Traits Predict Incident Coronary Heart Disease Events and Are Enriched for Results From Genome-Wide Association Studies. Circ Cardiovasc Genet. 2017 Jan;10(1):e001487. doi: 10.1161/CIRCGENETICS.116.001487. PMID: 28213390; PMCID: PMC5331877."
319,37507725,Coronary Heart Disease ,"Jin J, Zhao X, Zhu C, Li M, Wang J, Fan Y, Liu C, Shen C, Yang R. Hypomethylation of ABCG1 in peripheral blood as a potential marker for the detection of coronary heart disease. Clin Epigenetics. 2023 Jul 28;15(1):120. doi: 10.1186/s13148-023-01533-6. PMID: 37507725; PMCID: PMC10375639."
320,29473816,Pulmonary Arterial Hypertension,"Wang Y, Huang X, Leng D, Li J, Wang L, Liang Y, Wang J, Miao R, Jiang T. DNA methylation signatures of pulmonary arterial smooth muscle cells in chronic thromboembolic pulmonary hypertension. Physiol Genomics. 2018 May 1;50(5):313-322. doi: 10.1152/physiolgenomics.00069.2017. Epub 2018 Feb 23. PMID: 29473816."
321,32192357,Pulmonary Arterial Hypertension,"Potus F, Pauciulo MW, Cook EK, Zhu N, Hsieh A, Welch CL, Shen Y, Tian L, Lima P, Mewburn J, D'Arsigny CL, Lutz KA, Coleman AW, Damico R, Snetsinger B, Martin AY, Hassoun PM, Nichols WC, Chung WK, Rauh MJ, Archer SL. Novel Mutations and Decreased Expression of the Epigenetic Regulator TET2 in Pulmonary Arterial Hypertension. Circulation. 2020 Jun 16;141(24):1986-2000. doi: 10.1161/CIRCULATIONAHA.119.044320. Epub 2020 Mar 20. PMID: 32192357; PMCID: PMC7299806."
322,34793329,Pulmonary Arterial Hypertension,"Li N, Zhu L, Zhu C, Zhou H, Zheng D, Xu G, Shi H, Gao J, Li AJ, Wang Z, Sun L, Li X, Shao G. BMPR2promoter methylation and its expression in valvular heart disease complicated with pulmonary artery hypertension. Aging (Albany NY). 2021 Nov 18;13(22):24580-24604. doi: 10.18632/aging.203690. Epub 2021 Nov 18. PMID: 34793329; PMCID: PMC8660616."
323,33658391,Pulmonary Arterial Hypertension,"Zhou XL, Huang FJ, Li Y, Huang H, Wu QC. SEDT2/METTL14-mediated m6A methylation awakening contributes to hypoxia-induced pulmonary arterial hypertension in mice. Aging (Albany NY). 2021 Feb 26;13(5):7538-7548. doi: 10.18632/aging.202616. Epub 2021 Feb 26. PMID: 33658391; PMCID: PMC7993666."
324,35960497,Pulmonary Arterial Hypertension,"Benincasa G, Maron BA, Affinito O, D'Alto M, Franzese M, Argiento P, Schiano C, Romeo E, Bontempo P, Golino P, Berrino L, Loscalzo J, Napoli C. Association Between Circulating CD4+ T Cell Methylation Signatures of Network-Oriented SOCS3 Gene and Hemodynamics in Patients Suffering Pulmonary Arterial Hypertension. J Cardiovasc Transl Res. 2023 Feb;16(1):17-30. doi: 10.1007/s12265-022-10294-1. Epub 2022 Aug 12. PMID: 35960497; PMCID: PMC9944731."
325,37947606,Pulmonary Arterial Hypertension,"Emon IM, Al-Qazazi R, Rauh MJ, Archer SL. The Role of Clonal Hematopoiesis of Indeterminant Potential and DNA (Cytosine-5)-Methyltransferase Dysregulation in Pulmonary Arterial Hypertension and Other Cardiovascular Diseases. Cells. 2023 Oct 26;12(21):2528. doi: 10.3390/cells12212528. PMID: 37947606; PMCID: PMC10650407."
326,28881789,Pulmonary Arterial Hypertension,"Hautefort A, Chesné J, Preussner J, Pullamsetti SS, Tost J, Looso M, Antigny F, Girerd B, Riou M, Eddahibi S, Deleuze JF, Seeger W, Fadel E, Simonneau G, Montani D, Humbert M, Perros F. Pulmonary endothelial cell DNA methylation signature in pulmonary arterial hypertension. Oncotarget. 2017 May 19;8(32):52995-53016. doi: 10.18632/oncotarget.18031. PMID: 28881789; PMCID: PMC5581088."
327,34078089,Pulmonary Arterial Hypertension,"Bisserier M, Mathiyalagan P, Zhang S, Elmastour F, Dorfmüller P, Humbert M, David G, Tarzami S, Weber T, Perros F, Sassi Y, Sahoo S, Hadri L. Regulation of the Methylation and Expression Levels of the BMPR2 Gene by SIN3a as a Novel Therapeutic Mechanism in Pulmonary Arterial Hypertension. Circulation. 2021 Jul 6;144(1):52-73. doi: 10.1161/CIRCULATIONAHA.120.047978. Epub 2021 Jun 3. PMID: 34078089; PMCID: PMC8293289."
